application_id,asset_id,asset_type,age_years,market_value,condition_score,legal_penalty,employment_years,credit_history_years,delinquencies,current_loans,loan_amount,customer_type,city,lat,lon,depreciation_rate,market_segment,DTI,LTV,evidence_files
APP_0001,A0001,House,34,759172,0.9699233717248108,0.9573891686271095,15,21,0,4,46055,bank,Can Tho,10.0452,105.7469,3.00766282751892,High,0.5193571892754305,0.06066477688850484,[]
APP_0002,A0002,Land,11,1661269,0.6099437965545025,0.9968063731687872,10,11,2,2,13450,bank,Hue,16.4637,107.5909,39.005620344549754,High,0.4756512267182365,0.05,[]
APP_0003,A0003,Land,36,69336,0.8220792169307298,0.9718952018599376,15,24,2,1,19863,bank,Hanoi,21.0285,105.8542,17.792078306927017,Mass,0.6332384782728779,0.28647455867082033,[]
APP_0004,A0004,Car,12,1797513,0.853590044672434,0.9691659911388705,28,19,5,2,123185,bank,Hanoi,21.0285,105.8542,14.640995532756595,High,0.604783724638867,0.06853079783011305,[]
APP_0005,A0005,Car,17,1108512,0.6423589615003013,0.9864842854338689,2,16,1,4,39689,non-bank,Can Tho,10.0452,105.7469,35.76410384996988,High,0.8932357046988467,0.05,[]
APP_0006,A0006,Factory,26,323485,0.656135838825565,0.977649653262645,29,22,2,1,53943,bank,HCMC,10.7769,106.7009,34.386416117443495,Mass,0.8995086228405597,0.16675580011437935,[]
APP_0007,A0007,House,5,639249,0.7676457277265215,0.9968069993419231,13,12,2,7,171004,bank,Hue,16.4637,107.5909,23.23542722734785,High,0.4889904922402948,0.2675076535121682,[]
APP_0008,A0008,Land,22,1130370,0.9864927648572727,0.9890150746954696,23,18,0,3,176038,bank,Hanoi,21.0285,105.8542,1.3507235142727336,High,0.13091922391673438,0.15573484788166705,[]
APP_0009,A0009,Apartment,20,665599,0.8384170212937492,0.973968478206227,12,7,0,6,169415,bank,HCMC,10.7769,106.7009,16.158297870625084,High,0.6686668041234106,0.25453013000320013,[]
APP_0010,A0010,House,31,261722,0.9732092886400845,0.9688179736740413,9,24,2,5,58196,bank,HCMC,10.7769,106.7009,2.679071135991551,Mass,0.8801644664841008,0.22235807459823784,[]
APP_0011,A0011,Car,39,1348678,0.9217443662451883,0.9993315772462161,23,15,0,2,127740,non-bank,HCMC,10.7769,106.7009,7.82556337548117,High,0.3205774294846673,0.0947149727362647,[]
